FullClassPath,AntiPattern
org.telegram.messenger.SharedConfig,AntiSingleton
org.telegram.PhoneFormat.RuleSet,AntiSingleton
org.telegram.messenger.AndroidUtilities,AntiSingleton
org.telegram.ui.ActionBar.ThemeDescription,AntiSingleton
org.telegram.messenger.Bitmaps,AntiSingleton
org.telegram.messenger.MessageObject,AntiSingleton
org.telegram.ui.ActionBar.Theme,AntiSingleton
org.telegram.ui.Components.LetterDrawable,AntiSingleton
org.telegram.messenger.ApplicationLoader,AntiSingleton
org.telegram.messenger.Utilities,AntiSingleton
org.telegram.ui.Components.StaticLayoutEx,AntiSingleton
org.telegram.messenger.UserConfig,AntiSingleton
org.telegram.messenger.voip.VoIPService,AntiSingleton
org.telegram.ui.Charts.BaseChartView,AntiSingleton
org.telegram.ui.Components.URLSpanBotCommand,AntiSingleton
org.telegram.messenger.LinkifyPort,AntiSingleton
org.telegram.messenger.voip.VoIPBaseService,AntiSingleton
org.telegram.messenger.MediaController,AntiSingleton
org.telegram.messenger.MessagesController,AntiSingleton
org.telegram.messenger.LocaleController,AntiSingleton
org.telegram.messenger.Emoji,AntiSingleton
org.telegram.ui.ChatActivity,AntiSingleton
org.telegram.ui.DialogsActivity,AntiSingleton
org.telegram.messenger.NotificationsController,AntiSingleton
org.telegram.ui.Components.AnimationProperties,AntiSingleton
org.telegram.ui.Components.voip.VoIPHelper,AntiSingleton
org.telegram.messenger.BuildVars,AntiSingleton
org.telegram.tgnet.TLClassStore,AntiSingleton
