FullClassPath,AntiPattern
org.telegram.ui.TextSelectionHint,LongParameterList
org.telegram.ui.Components.BackupImageView,LongParameterList
org.telegram.ui.Components.Scroller,LongParameterList
org.telegram.ui.Components.Paint.Views.RotationGestureDetector,LongParameterList
org.telegram.messenger.voip.VoIPController,LongParameterList
org.telegram.ui.ChatActivity,LongParameterList
org.telegram.messenger.ImageReceiver,LongParameterList
org.telegram.tgnet.ConnectionsManager,LongParameterList
org.telegram.ui.Charts.BaseChartView,LongParameterList
org.telegram.ui.LaunchActivity,LongParameterList
org.telegram.messenger.MediaController,LongParameterList
org.telegram.ui.Adapters.SearchAdapter,LongParameterList
org.telegram.messenger.MessagesStorage,LongParameterList
org.telegram.ui.Components.AlertsCreator,LongParameterList
org.telegram.messenger.time.SunDate,LongParameterList
org.telegram.ui.ChatUsersActivity,LongParameterList
org.telegram.messenger.FileLoader,LongParameterList
org.telegram.ui.PassportActivity,LongParameterList
org.telegram.messenger.ImageLoader,LongParameterList
org.telegram.messenger.SendMessagesHelper,LongParameterList
org.telegram.ui.Adapters.SearchAdapterHelper,LongParameterList
org.telegram.messenger.MessageObject,LongParameterList
org.telegram.ui.Components.SvgHelper,LongParameterList
org.telegram.ui.ChatRightsEditActivity,LongParameterList
org.telegram.ui.FilterCreateActivity,LongParameterList
org.telegram.ui.Components.StaticLayoutEx,LongParameterList
org.telegram.ui.ActionBar.ThemeDescription,LongParameterList
org.telegram.ui.Components.LayoutHelper,LongParameterList
org.telegram.ui.Components.SharedMediaLayout,LongParameterList
org.telegram.ui.Components.EmbedBottomSheet,LongParameterList
org.telegram.ui.ArticleViewer,LongParameterList
org.telegram.messenger.MessagesController,LongParameterList
org.telegram.ui.Components.TextPaintImageReceiverSpan,LongParameterList
org.telegram.messenger.AndroidUtilities,LongParameterList
org.telegram.messenger.video.MediaCodecVideoConvertor,LongParameterList
org.telegram.messenger.Intro,LongParameterList
org.telegram.messenger.NotificationsController,LongParameterList
org.telegram.ui.Components.BulletSpan,LongParameterList
org.telegram.ui.PaymentFormActivity,LongParameterList
org.telegram.messenger.ImageLocation,LongParameterList
org.telegram.ui.PhotoViewer,LongParameterList
org.telegram.messenger.MediaDataController,LongParameterList
